vehicle,type,fuel,official_mileage,condition,distance_km,avg_speed_kmph,duration_hr,real_mileage,fuel_used_litre
Honda Activa,Bike,Petrol,50,Mixed,476,40.42,11.78,36.99,12.87
Toyota Innova,Car,Diesel,15,City_Heavy,396,24.58,16.11,6.6,60.03
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,265,48.16,5.5,33.94,7.81
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,32,46.58,0.69,32.86,0.97
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,422,63.82,6.61,43.3,9.74
Hyundai Creta,Car,Diesel,21,City_Moderate,66,33.13,1.99,14.16,4.66
Toyota Innova,Car,Diesel,15,City_Moderate,364,31.87,11.42,11.19,32.53
Maruti Swift,Car,Petrol,22,Highway_Light,231,64.78,3.57,21.03,10.98
Honda Activa,Bike,Petrol,50,Highway_Light,261,88.87,2.94,48.57,5.37
Honda Activa,Bike,Petrol,50,Mixed,402,54.81,7.33,37.36,10.76
Maruti Swift,Car,Petrol,22,City_Heavy,19,12.22,1.56,11.1,1.71
Honda Activa,Bike,Petrol,50,Mixed,183,40.94,4.47,39.39,4.65
Hyundai Creta,Car,Diesel,21,Mixed,56,56.9,0.98,17.37,3.22
Maruti Swift,Car,Petrol,22,Highway_Light,489,69.97,6.99,21.33,22.93
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,175,30.08,5.82,30.69,5.7
Hyundai Creta,Car,Diesel,21,Highway_Light,331,71.59,4.62,20.88,15.85
Honda Activa,Bike,Petrol,50,Highway_Light,70,84.97,0.82,45.81,1.53
Maruti Swift,Car,Petrol,22,Highway_Light,138,78.26,1.76,20.45,6.75
Honda Activa,Bike,Petrol,50,Mixed,344,66.78,5.15,37.18,9.25
Maruti Swift,Car,Petrol,22,Highway_Light,352,74.25,4.74,20.99,16.77
Honda Activa,Bike,Petrol,50,Highway_Light,389,69.12,5.63,49.53,7.85
Toyota Innova,Car,Diesel,15,City_Moderate,120,33.81,3.55,10.28,11.67
Toyota Innova,Car,Diesel,15,City_Heavy,202,20.21,9.99,6.91,29.21
Maruti Swift,Car,Petrol,22,City_Moderate,169,42.31,3.99,15.04,11.24
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,156,68.29,2.28,26.39,5.91
Toyota Innova,Car,Diesel,15,City_Moderate,100,38.95,2.57,9.97,10.03
Maruti Swift,Car,Petrol,22,City_Moderate,322,49.29,6.53,14.98,21.5
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,299,19.94,14.99,26.66,11.21
Honda Activa,Bike,Petrol,50,City_Moderate,117,49.94,2.34,33.01,3.54
Honda Activa,Bike,Petrol,50,City_Moderate,6,37.57,0.16,32.67,0.18
Hyundai Creta,Car,Diesel,21,City_Moderate,489,33.63,14.54,12.82,38.15
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,130,12.9,10.08,18.44,7.05
Toyota Innova,Car,Diesel,15,Mixed,164,56.59,2.9,11.97,13.7
Honda Activa,Bike,Petrol,50,City_Moderate,443,44.04,10.06,35.93,12.33
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,259,26.06,9.94,20.14,12.86
Hyundai Creta,Car,Diesel,21,City_Heavy,102,22.67,4.5,10.38,9.83
Toyota Innova,Car,Diesel,15,Mixed,244,63.95,3.82,12.11,20.15
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,191,29.66,6.44,22.06,8.66
Honda Activa,Bike,Petrol,50,City_Heavy,152,16.52,9.2,20.41,7.45
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,350,80.48,4.35,32.27,10.85
Maruti Swift,Car,Petrol,22,City_Moderate,356,27.4,12.99,14.2,25.08
Hyundai Creta,Car,Diesel,21,Highway_Light,428,75.47,5.67,20.88,20.5
Honda Activa,Bike,Petrol,50,Highway_Light,133,87.03,1.53,49.68,2.68
Hyundai Creta,Car,Diesel,21,Mixed,438,67.74,6.47,17.79,24.62
Maruti Swift,Car,Petrol,22,City_Moderate,103,30.71,3.35,17.06,6.04
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,116,56.66,2.05,33.07,3.51
Toyota Innova,Car,Diesel,15,City_Moderate,6,49.91,0.12,10.59,0.57
Hyundai Creta,Car,Diesel,21,City_Heavy,457,28.01,16.32,12.45,36.69
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,13,31.97,0.41,25.43,0.51
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,212,95.88,2.21,43.65,4.86
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,124,66.63,1.86,39.48,3.14
Hyundai Creta,Car,Diesel,21,Mixed,117,44.85,2.61,18.27,6.4
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,344,39.52,8.71,35.09,9.8
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,477,59.91,7.96,34.85,13.69
Hyundai Creta,Car,Diesel,21,Mixed,388,49.16,7.89,14.72,26.36
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,167,23.04,7.25,17.4,9.6
Honda Activa,Bike,Petrol,50,City_Heavy,165,10.36,15.92,22.24,7.42
Hyundai Creta,Car,Diesel,21,Highway_Light,308,89.86,3.43,19.94,15.45
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,139,43.02,3.23,32.85,4.23
Honda Activa,Bike,Petrol,50,Mixed,180,42.81,4.2,38.08,4.73
Honda Activa,Bike,Petrol,50,City_Moderate,379,31.26,12.12,33.68,11.25
Hyundai Creta,Car,Diesel,21,City_Heavy,234,17.86,13.1,10.88,21.51
Toyota Innova,Car,Diesel,15,Highway_Light,287,77.38,3.71,14.84,19.34
Maruti Swift,Car,Petrol,22,City_Heavy,101,21.54,4.69,10.34,9.77
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,457,14.6,31.29,17.45,26.19
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,8,40.73,0.2,27.99,0.29
Honda Activa,Bike,Petrol,50,Highway_Light,21,99.78,0.21,48.23,0.44
Hyundai Creta,Car,Diesel,21,City_Heavy,50,28.3,1.77,10.37,4.82
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,237,68.59,3.46,34.83,6.8
Honda Activa,Bike,Petrol,50,Highway_Light,306,98.67,3.1,46.65,6.56
Hyundai Creta,Car,Diesel,21,Mixed,485,42.26,11.48,18.75,25.87
Maruti Swift,Car,Petrol,22,City_Moderate,420,46.28,9.08,14.55,28.88
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,132,17.45,7.56,16.22,8.14
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,58,23.92,2.42,16.76,3.46
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,284,68.36,4.15,33.5,8.48
Toyota Innova,Car,Diesel,15,City_Moderate,155,28.5,5.44,11.01,14.07
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,390,72.9,5.35,33.31,11.71
Hyundai Creta,Car,Diesel,21,Mixed,397,61.07,6.5,18.26,21.74
Maruti Swift,Car,Petrol,22,Mixed,481,48.9,9.84,16.98,28.32
Maruti Swift,Car,Petrol,22,Mixed,310,66.01,4.7,17.25,17.97
Toyota Innova,Car,Diesel,15,Highway_Light,395,80.06,4.93,14.87,26.56
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,325,11.42,28.46,19.59,16.59
Maruti Swift,Car,Petrol,22,Mixed,146,66.7,2.19,17.15,8.52
Honda Activa,Bike,Petrol,50,City_Moderate,96,39.47,2.43,33.38,2.88
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,451,25.9,17.41,24.07,18.74
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,67,49.55,1.35,31.19,2.15
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,62,10.61,5.84,25.55,2.43
Hyundai Creta,Car,Diesel,21,Highway_Light,330,72.13,4.58,18.98,17.39
Toyota Innova,Car,Diesel,15,Mixed,105,55.67,1.89,12.11,8.67
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,496,49.13,10.1,33.93,14.62
Hyundai Creta,Car,Diesel,21,City_Heavy,266,11.03,24.11,10.32,25.77
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,51,42.49,1.2,31.78,1.6
Hyundai Creta,Car,Diesel,21,City_Moderate,148,49.4,3.0,13.18,11.23
Honda Activa,Bike,Petrol,50,Mixed,162,41.23,3.93,40.16,4.03
Maruti Swift,Car,Petrol,22,City_Heavy,279,18.78,14.86,10.55,26.43
Toyota Innova,Car,Diesel,15,City_Moderate,233,29.61,7.87,9.24,25.23
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,131,60.88,2.15,32.23,4.06
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,62,47.88,1.29,23.86,2.6
Maruti Swift,Car,Petrol,22,Mixed,100,56.48,1.77,17.35,5.76
Hyundai Creta,Car,Diesel,21,City_Heavy,492,28.69,17.15,11.4,43.15
Hyundai Creta,Car,Diesel,21,Mixed,193,62.14,3.11,17.38,11.1
Maruti Swift,Car,Petrol,22,City_Heavy,282,24.6,11.46,11.24,25.09
Toyota Innova,Car,Diesel,15,City_Moderate,158,33.9,4.66,9.14,17.28
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,189,33.55,5.63,26.3,7.18
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,51,26.02,1.96,27.83,1.83
Honda Activa,Bike,Petrol,50,Highway_Light,457,78.97,5.79,49.28,9.27
Honda Activa,Bike,Petrol,50,City_Moderate,436,45.17,9.65,30.98,14.07
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,258,77.35,3.34,32.71,7.89
Toyota Innova,Car,Diesel,15,City_Heavy,14,28.98,0.48,7.2,1.95
Maruti Swift,Car,Petrol,22,City_Moderate,184,34.37,5.35,17.1,10.76
Honda Activa,Bike,Petrol,50,City_Moderate,446,37.53,11.89,36.26,12.3
Toyota Innova,Car,Diesel,15,Highway_Light,497,66.52,7.47,14.31,34.73
Toyota Innova,Car,Diesel,15,City_Moderate,251,48.61,5.16,9.21,27.25
Honda Activa,Bike,Petrol,50,Highway_Light,164,97.61,1.68,49.34,3.32
Toyota Innova,Car,Diesel,15,Mixed,182,57.2,3.18,12.23,14.89
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,449,38.64,11.62,28.16,15.95
Maruti Swift,Car,Petrol,22,City_Heavy,327,26.41,12.38,12.94,25.27
Toyota Innova,Car,Diesel,15,City_Heavy,47,13.92,3.38,7.95,5.91
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,99,51.32,1.93,24.99,3.96
Honda Activa,Bike,Petrol,50,Mixed,246,60.49,4.07,35.39,6.95
Hyundai Creta,Car,Diesel,21,City_Heavy,268,17.71,15.13,8.7,30.81
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,422,15.21,27.74,24.13,17.49
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,318,60.9,5.22,27.97,11.37
Toyota Innova,Car,Diesel,15,Highway_Light,417,61.57,6.77,14.44,28.87
Hyundai Creta,Car,Diesel,21,City_Moderate,253,38.7,6.54,14.36,17.62
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,412,92.27,4.46,42.41,9.72
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,500,43.83,11.41,31.43,15.91
Toyota Innova,Car,Diesel,15,City_Heavy,100,16.82,5.95,6.75,14.81
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,41,47.16,0.87,31.02,1.32
Honda Activa,Bike,Petrol,50,City_Heavy,283,25.09,11.28,26.8,10.56
Hyundai Creta,Car,Diesel,21,City_Moderate,277,38.36,7.22,13.03,21.25
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,221,33.0,6.7,31.47,7.02
Honda Activa,Bike,Petrol,50,City_Moderate,181,26.34,6.87,38.96,4.65
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,407,42.74,9.52,31.21,13.04
Maruti Swift,Car,Petrol,22,City_Heavy,210,23.54,8.92,10.2,20.58
Honda Activa,Bike,Petrol,50,Highway_Light,371,63.33,5.86,47.41,7.82
Maruti Swift,Car,Petrol,22,City_Moderate,400,33.22,12.04,13.6,29.4
Hyundai Creta,Car,Diesel,21,City_Moderate,488,48.65,10.03,15.42,31.64
Hyundai Creta,Car,Diesel,21,Mixed,43,42.74,1.01,17.98,2.39
Maruti Swift,Car,Petrol,22,City_Moderate,427,49.9,8.56,15.38,27.77
Maruti Swift,Car,Petrol,22,Highway_Light,167,95.51,1.75,19.92,8.38
Toyota Innova,Car,Diesel,15,Highway_Light,150,98.75,1.52,14.03,10.69
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,446,84.73,5.26,33.91,13.15
Honda Activa,Bike,Petrol,50,Mixed,11,52.78,0.21,36.01,0.31
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,397,64.66,6.14,33.5,11.85
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,9,37.83,0.24,25.94,0.35
Maruti Swift,Car,Petrol,22,City_Moderate,140,34.36,4.07,14.23,9.84
Maruti Swift,Car,Petrol,22,City_Heavy,149,28.94,5.15,10.43,14.28
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,136,33.76,4.03,27.9,4.87
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,279,25.54,10.92,24.37,11.45
Toyota Innova,Car,Diesel,15,Highway_Light,95,69.95,1.36,14.34,6.63
Hyundai Creta,Car,Diesel,21,City_Heavy,130,19.85,6.55,9.79,13.28
Toyota Innova,Car,Diesel,15,City_Heavy,224,21.43,10.45,6.03,37.12
Toyota Innova,Car,Diesel,15,Mixed,460,43.53,10.57,12.72,36.16
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,5,23.62,0.21,23.84,0.21
Maruti Swift,Car,Petrol,22,City_Moderate,195,36.94,5.28,14.25,13.69
Toyota Innova,Car,Diesel,15,City_Heavy,421,14.47,29.09,6.25,67.37
Maruti Swift,Car,Petrol,22,Highway_Light,48,99.12,0.48,21.92,2.19
Toyota Innova,Car,Diesel,15,City_Moderate,307,47.28,6.49,10.67,28.78
Honda Activa,Bike,Petrol,50,Highway_Light,207,96.76,2.14,47.64,4.35
Honda Activa,Bike,Petrol,50,City_Heavy,151,29.39,5.14,22.53,6.7
Honda Activa,Bike,Petrol,50,City_Heavy,237,14.34,16.53,25.23,9.39
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,5,40.69,0.12,29.65,0.17
Toyota Innova,Car,Diesel,15,City_Moderate,148,43.43,3.41,10.75,13.76
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,334,68.51,4.88,39.74,8.41
Maruti Swift,Car,Petrol,22,City_Moderate,464,27.67,16.77,17.12,27.11
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,126,67.52,1.87,42.01,3.0
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,190,30.73,6.18,24.25,7.84
Toyota Innova,Car,Diesel,15,Mixed,361,69.23,5.21,11.3,31.95
Maruti Swift,Car,Petrol,22,Highway_Light,451,81.44,5.54,21.97,20.53
Toyota Innova,Car,Diesel,15,Highway_Light,216,84.11,2.57,13.96,15.47
Toyota Innova,Car,Diesel,15,City_Moderate,401,47.77,8.39,9.81,40.86
Honda Activa,Bike,Petrol,50,Mixed,86,52.5,1.64,43.23,1.99
Hyundai Creta,Car,Diesel,21,City_Moderate,413,35.46,11.65,15.04,27.46
Honda Activa,Bike,Petrol,50,Mixed,246,56.55,4.35,44.33,5.55
Hyundai Creta,Car,Diesel,21,City_Moderate,293,44.44,6.59,13.29,22.04
Honda Activa,Bike,Petrol,50,Mixed,243,44.51,5.46,39.8,6.1
Hyundai Creta,Car,Diesel,21,Mixed,67,51.79,1.29,17.2,3.9
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,181,26.77,6.76,19.8,9.14
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,103,28.35,3.63,31.22,3.3
Honda Activa,Bike,Petrol,50,City_Moderate,315,46.62,6.76,30.14,10.45
Hyundai Creta,Car,Diesel,21,City_Moderate,355,43.75,8.11,16.01,22.17
Honda Activa,Bike,Petrol,50,City_Moderate,27,44.22,0.61,39.13,0.69
Hyundai Creta,Car,Diesel,21,Mixed,462,51.34,9.0,18.67,24.75
Honda Activa,Bike,Petrol,50,City_Moderate,461,28.23,16.33,32.41,14.22
Toyota Innova,Car,Diesel,15,City_Moderate,209,30.18,6.92,11.86,17.62
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,492,84.73,5.81,34.57,14.23
Honda Activa,Bike,Petrol,50,City_Moderate,76,25.55,2.97,33.58,2.26
Honda Activa,Bike,Petrol,50,Mixed,442,63.17,7.0,39.98,11.06
Maruti Swift,Car,Petrol,22,City_Moderate,272,45.41,5.99,15.49,17.56
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,482,46.92,10.27,27.78,17.35
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,116,79.2,1.46,32.91,3.52
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,233,40.51,5.75,30.78,7.57
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,439,47.58,9.23,33.34,13.17
Maruti Swift,Car,Petrol,22,City_Heavy,230,17.01,13.52,11.52,19.97
Toyota Innova,Car,Diesel,15,Mixed,290,56.64,5.12,12.27,23.64
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,486,33.71,14.42,21.64,22.46
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,476,67.31,7.07,28.1,16.94
Toyota Innova,Car,Diesel,15,City_Moderate,110,46.56,2.36,9.89,11.12
Honda Activa,Bike,Petrol,50,Mixed,392,53.78,7.29,44.5,8.81
Honda Activa,Bike,Petrol,50,Mixed,277,47.75,5.8,43.42,6.38
Hyundai Creta,Car,Diesel,21,City_Heavy,38,22.42,1.7,10.33,3.68
Honda Activa,Bike,Petrol,50,City_Heavy,130,22.67,5.73,23.47,5.54
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,375,38.43,9.76,22.68,16.53
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,340,44.56,7.63,27.72,12.27
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,12,67.2,0.18,31.99,0.38
Hyundai Creta,Car,Diesel,21,City_Moderate,285,47.42,6.01,15.53,18.36
Maruti Swift,Car,Petrol,22,City_Heavy,97,29.46,3.29,10.89,8.91
Hyundai Creta,Car,Diesel,21,City_Moderate,55,26.02,2.11,15.13,3.64
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,96,16.95,5.66,19.52,4.92
Toyota Innova,Car,Diesel,15,City_Heavy,330,12.41,26.59,6.1,54.14
Maruti Swift,Car,Petrol,22,City_Heavy,350,27.88,12.55,10.83,32.33
Maruti Swift,Car,Petrol,22,Highway_Light,222,87.62,2.53,20.08,11.05
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,253,54.43,4.65,31.85,7.94
Honda Activa,Bike,Petrol,50,City_Moderate,60,46.84,1.28,36.88,1.63
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,65,60.1,1.08,34.72,1.87
Maruti Swift,Car,Petrol,22,Highway_Light,12,89.93,0.13,21.71,0.55
Toyota Innova,Car,Diesel,15,Mixed,211,56.1,3.76,11.05,19.09
Hyundai Creta,Car,Diesel,21,Highway_Light,18,84.73,0.21,20.84,0.86
Hyundai Creta,Car,Diesel,21,Mixed,220,61.62,3.57,16.25,13.54
Honda Activa,Bike,Petrol,50,City_Heavy,191,15.05,12.69,20.62,9.26
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,115,46.11,2.49,25.99,4.42
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,497,66.02,7.53,29.75,16.71
Hyundai Creta,Car,Diesel,21,City_Moderate,375,31.06,12.07,14.09,26.62
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,489,45.47,10.75,26.38,18.53
Toyota Innova,Car,Diesel,15,City_Heavy,277,14.23,19.47,7.69,36.01
Toyota Innova,Car,Diesel,15,Mixed,304,47.0,6.47,11.48,26.48
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,29,87.16,0.33,42.04,0.69
Maruti Swift,Car,Petrol,22,Mixed,113,54.39,2.08,18.87,5.99
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,474,39.67,11.95,32.26,14.69
Toyota Innova,Car,Diesel,15,City_Moderate,373,39.11,9.54,11.24,33.2
Toyota Innova,Car,Diesel,15,City_Moderate,105,34.08,3.08,10.14,10.36
Toyota Innova,Car,Diesel,15,Highway_Light,230,69.77,3.3,14.47,15.9
Maruti Swift,Car,Petrol,22,Mixed,458,58.17,7.87,17.59,26.03
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,154,69.01,2.23,32.33,4.76
Maruti Swift,Car,Petrol,22,Highway_Light,116,66.43,1.75,20.6,5.63
Maruti Swift,Car,Petrol,22,City_Moderate,322,45.15,7.13,14.02,22.97
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,141,27.01,5.22,21.39,6.59
Maruti Swift,Car,Petrol,22,City_Moderate,44,42.42,1.04,15.51,2.84
Maruti Swift,Car,Petrol,22,City_Heavy,10,17.96,0.56,13.19,0.76
Honda Activa,Bike,Petrol,50,Mixed,8,40.16,0.2,44.69,0.18
Hyundai Creta,Car,Diesel,21,City_Moderate,98,29.27,3.35,16.7,5.87
Hyundai Creta,Car,Diesel,21,Mixed,445,61.55,7.23,17.51,25.42
Toyota Innova,Car,Diesel,15,Mixed,30,48.4,0.62,12.11,2.48
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,330,29.36,11.24,19.39,17.02
Maruti Swift,Car,Petrol,22,Highway_Light,216,80.3,2.69,21.36,10.11
Toyota Innova,Car,Diesel,15,Highway_Light,51,88.29,0.58,13.86,3.68
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,42,21.62,1.94,24.91,1.69
Hyundai Creta,Car,Diesel,21,Highway_Light,360,72.83,4.94,19.22,18.73
Hyundai Creta,Car,Diesel,21,City_Heavy,394,16.73,23.55,10.89,36.17
Toyota Innova,Car,Diesel,15,City_Heavy,411,20.98,19.59,6.4,64.19
Toyota Innova,Car,Diesel,15,City_Moderate,172,45.25,3.8,9.61,17.91
Honda Activa,Bike,Petrol,50,Mixed,105,40.08,2.62,37.55,2.8
Maruti Swift,Car,Petrol,22,City_Heavy,403,19.43,20.74,9.31,43.27
Toyota Innova,Car,Diesel,15,City_Moderate,98,27.67,3.54,10.24,9.57
Honda Activa,Bike,Petrol,50,Highway_Light,448,98.6,4.54,49.25,9.1
Maruti Swift,Car,Petrol,22,Mixed,380,69.73,5.45,15.95,23.83
Hyundai Creta,Car,Diesel,21,City_Heavy,487,11.33,42.98,9.26,52.59
Maruti Swift,Car,Petrol,22,Mixed,410,41.44,9.89,18.66,21.97
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,271,44.88,6.04,34.03,7.96
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,290,64.75,4.48,25.91,11.19
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,343,86.61,3.96,41.34,8.3
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,136,32.9,4.13,31.71,4.29
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,406,45.41,8.94,32.29,12.57
Honda Activa,Bike,Petrol,50,City_Heavy,18,27.99,0.64,24.39,0.74
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,357,43.69,8.17,25.37,14.07
Maruti Swift,Car,Petrol,22,City_Heavy,157,17.11,9.18,11.01,14.26
Toyota Innova,Car,Diesel,15,City_Heavy,454,20.87,21.75,7.17,63.28
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,439,20.86,21.05,20.35,21.58
Honda Activa,Bike,Petrol,50,City_Moderate,71,40.69,1.74,34.32,2.07
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,452,29.17,15.5,30.01,15.06
Honda Activa,Bike,Petrol,50,Mixed,293,56.0,5.23,43.79,6.69
Hyundai Creta,Car,Diesel,21,City_Moderate,424,49.94,8.49,16.35,25.93
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,489,44.46,11.0,26.27,18.62
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,200,57.1,3.5,32.79,6.1
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,127,43.87,2.9,26.34,4.82
Maruti Swift,Car,Petrol,22,Highway_Light,401,64.43,6.22,20.03,20.02
Honda Activa,Bike,Petrol,50,City_Heavy,220,22.08,9.96,28.46,7.73
Maruti Swift,Car,Petrol,22,Mixed,140,44.5,3.15,17.61,7.95
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,336,25.44,13.21,15.6,21.53
Maruti Swift,Car,Petrol,22,City_Moderate,119,42.35,2.81,13.25,8.98
Hyundai Creta,Car,Diesel,21,Mixed,303,57.97,5.23,16.98,17.85
Toyota Innova,Car,Diesel,15,City_Moderate,258,47.71,5.41,11.48,22.47
